{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(437.71321714863024), 'rmse': np.float64(20.92159690723034), 'r2': 0.8918577615364695}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(347.8120575790856), 'rmse': np.float64(18.64972004023346), 'r2': 0.9144223248246438}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(570.5159702630593), 'rmse': np.float64(23.885476136411), 'r2': 0.85904726728302}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(362.10258126248334), 'rmse': np.float64(19.02899317521774), 'r2': 0.9120411861562145}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(363.8662842390752), 'rmse': np.float64(19.07527940133709), 'r2': 0.9104722507419253}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(418.6149984521881), 'rmse': np.float64(20.460083050960183), 'r2': 0.8970015628255559}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(311.69403274108623), 'rmse': np.float64(17.654858615720666), 'r2': 0.9229922947359838}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(529.0248283474621), 'rmse': np.float64(23.000539740350924), 'r2': 0.8714938837687427}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(331.14396335106386), 'rmse': np.float64(18.197361439259918), 'r2': 0.9181869588408853}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(341.3204476119635), 'rmse': np.float64(18.474859880712586), 'r2': 0.9156727377834735}
