{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(365.7828235613478), 'rmse': np.float64(19.12544963030537), 'r2': 0.9111472136632894}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(438.5317937574058), 'rmse': np.float64(20.941150726677026), 'r2': 0.8934756657154893}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(381.11522073611104), 'rmse': np.float64(19.52217254139792), 'r2': 0.9074228009176747}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(309.5857605794416), 'rmse': np.float64(17.595049320176447), 'r2': 0.9235131683626377}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(459.03651982255195), 'rmse': np.float64(21.42513756834602), 'r2': 0.8884948357622926}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(335.8781634502006), 'rmse': np.float64(18.326979114142095), 'r2': 0.9170173185924368}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(752.228419532199), 'rmse': np.float64(27.426782887028494), 'r2': 0.8149174016781728}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(362.91204225225636), 'rmse': np.float64(19.050250451168782), 'r2': 0.9107070379179509}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(374.0899585327941), 'rmse': np.float64(19.34140528846842), 'r2': 0.9079567592322395}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(368.87294058873874), 'rmse': np.float64(19.206065203178362), 'r2': 0.9103965892755257}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(371.7880602840799), 'rmse': np.float64(19.281806458008024), 'r2': 0.9081453529435414}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(442.85915040825716), 'rmse': np.float64(21.04421893081939), 'r2': 0.891036392510761}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(384.34012561711654), 'rmse': np.float64(19.604594502746455), 'r2': 0.9066394350352684}
